Date Low High Last Change % Change
03 Nov 2021 - - 126,475 2,550 2.06 %
02 Nov 2021 - - 123,925 -7,375 -5.62 %
01 Nov 2021 - - 131,300 -8,875 -6.33 %
29 Oct 2021 - - 140,175 -3,475 -2.42 %
28 Oct 2021 - - 143,650 -10,025 -6.52 %
27 Oct 2021 - - 153,675 -1,475 -0.95 %
26 Oct 2021 - - 155,150 -4,650 -2.91 %
25 Oct 2021 - - 159,800 -1,750 -1.08 %
22 Oct 2021 - - 161,550 -4,375 -2.64 %
21 Oct 2021 - - 165,925 -6,100 -3.55 %
20 Oct 2021 - - 172,025 -6,200 -3.48 %
19 Oct 2021 - - 178,225 -3,150 -1.74 %
18 Oct 2021 - - 181,375 -25 -0.01 %
15 Oct 2021 - - 181,400 -5,650 -3.02 %
14 Oct 2021 - - 187,050 0 0.00 %
Average - - 157,447      
